Country Code,State Code,ZIP/Postcode,City,Rate %,Tax Name,Priority,Compound,Shipping,Tax Class
US,CA,92612,IRVINE,7.7500,CA Tax,1,0,0,
US,CA,92612,IRVINE,7.7500,CA Tax,1,0,0,
US,CA,92612,IRVINE,7.7500,CA Tax,1,0,0,
US,CA,92626,IRVINE,9.2500,CA Tax,1,0,0,
US,CA,92882,IRVINE,7.7500,CA Tax,1,0,0,
US,CA,90701,ARTESIA,9.5000,CA Tax,1,0,0,
US,CA,91709,CHINO HILLS,7.7500,CA Tax,1,0,0,
US,CA,92879,CORONA,7.7500,CA Tax,1,0,0,
US,CA,92504,RIVERSIDE,8.7500,CA Tax,1,0,0,
US,CA,92618,IRVINE,7.7500,CA Tax,1,0,0,
US,CA,92654,IRVINE,7.7500,CA Tax,1,0,0,
US,CA,92880,IRVINE,8.7500,CA Tax,1,0,0,
